,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
60,HighSchool,2019,61.0,Quavaris Crouch,Harding University,Tennessee,ATH,72.5,237.0,4,0.9699,Charlotte,NC,
61,HighSchool,2019,62.0,Justin Eboigbe,Forest Park,Alabama,SDE,76.5,263.0,4,0.9698,Forest Park,GA,
62,HighSchool,2019,63.0,Jonah Tauanu'u,Narbonne,Oregon,OT,77.0,305.0,4,0.9695,Harbor City,CA,
63,HighSchool,2019,64.0,Ryan Hilinski,Orange Lutheran,South Carolina,PRO,75.0,230.0,4,0.9695,Orange,CA,
64,HighSchool,2019,65.0,Graham Mertz,Blue Valley North,Wisconsin,PRO,75.0,205.0,4,0.9689,Mission,KS,
65,HighSchool,2019,66.0,Trejan Bridges,Hebron,Oklahoma,WR,73.0,180.0,4,0.9687,Carrollton,TX,
66,HighSchool,2019,67.0,De'Gabriel Floyd,Westlake,Texas,ILB,73.5,231.0,4,0.9682,Westlake Village,CA,
67,HighSchool,2019,68.0,Mase Funa,Mater Dei,Oregon,ILB,74.0,245.0,4,0.9681,Santa Ana,CA,
68,HighSchool,2019,69.0,Charles Moore,Louisville,Auburn,SDE,76.0,268.0,4,0.9681,Louisville,MS,
69,HighSchool,2019,70.0,Dylan Wright,West Mesquite,Texas A&M,WR,76.0,215.0,4,0.9678,Mesquite,TX,
70,HighSchool,2019,71.0,Khris Bogle,Cardinal Gibbons,Florida,WDE,75.5,212.0,4,0.9677,Fort Lauderdale,FL,
71,HighSchool,2019,72.0,Brian Williams,Bishop Dunne,Texas A&M,S,73.0,211.0,4,0.9677,Dallas,TX,
72,HighSchool,2019,73.0,Nathan Pickering,Seminary,Mississippi State,DT,75.5,286.0,4,0.9675,Seminary,MS,
73,HighSchool,2019,74.0,Sean Rhyan,San Juan Hills,UCLA,OG,76.5,324.0,4,0.9671,San Juan Capistrano,CA,
74,HighSchool,2019,75.0,Jowon Briggs,Walnut Hills,Virginia,DT,74.0,295.0,4,0.9667,Cincinnati,OH,
75,HighSchool,2019,76.0,Amari Kight,Thompson,Alabama,OT,78.5,315.0,4,0.9648,Alabaster,AL,
76,HighSchool,2019,77.0,Byron Young,West Jones,Alabama,DT,74.5,290.0,4,0.9647,Laurel,MS,
77,HighSchool,2019,78.0,Shane Lee,St. Frances Academy,Alabama,ILB,72.0,243.0,4,0.9647,Baltimore,MD,
78,HighSchool,2019,79.0,Devyn Ford,North Stafford,Penn State,RB,71.0,195.0,4,0.9643,Stafford,VA,
79,HighSchool,2019,80.0,Demani Richardson,Waxahachie,Texas A&M,S,73.0,209.0,4,0.9629,Waxahachie,TX,
80,HighSchool,2019,81.0,Caedan Wallace,Hun School,Penn State,OG,77.0,288.0,4,0.9627,Princeton,NJ,
81,HighSchool,2019,82.0,Jameson Williams,Cardinal Ritter College Prep,Ohio State,WR,73.5,169.0,4,0.9621,Saint Louis,MO,
82,HighSchool,2019,83.0,Faatui Tuitele,St. Louis,Washington,DT,74.5,304.0,4,0.9609,Honolulu,HI,
83,HighSchool,2019,84.0,DeMarcco Hellams,DeMatha Catholic,Alabama,S,73.0,203.0,4,0.9603,Hyattsville,MD,
84,HighSchool,2019,85.0,Elijah Higgins,Bowie,Stanford,WR,75.0,214.0,4,0.9601,Austin,TX,
85,HighSchool,2019,86.0,Jacob Bandes,Pittsburg,Washington,DT,74.0,315.0,4,0.9599,Pittsburg,CA,
86,HighSchool,2019,87.0,Wandale Robinson,Western Hills,Nebraska,APB,69.0,175.0,4,0.9597,Frankfort,KY,
87,HighSchool,2019,88.0,Tyron Hopper,Roswell,Florida,OLB,74.0,197.0,4,0.9595,Roswell,GA,
88,HighSchool,2019,89.0,Rian Davis,Wekiva,Georgia,OLB,73.5,240.0,4,0.959,Apopka,FL,
89,HighSchool,2019,90.0,Mark-Antony Richards,Wellington,Auburn,ATH,73.0,195.0,4,0.9589,West Palm Beach,FL,
90,HighSchool,2019,91.0,Jeffery Carter,Mansfield Legacy,Alabama,CB,72.0,186.0,4,0.9588,Mansfield,TX,
91,HighSchool,2019,92.0,Adisa Isaac,Canarsie,Penn State,WDE,77.0,220.0,4,0.9584,Brooklyn,NY,
92,HighSchool,2019,93.0,Sam Howell,Sun Valley,North Carolina,DUAL,72.0,225.0,4,0.9582,Monroe,NC,
93,HighSchool,2019,94.0,Mycah Pittman,Calabasas,Oregon,WR,71.0,195.0,4,0.9578,Calabasas,CA,
94,HighSchool,2019,95.0,Zeke Correll,Anderson,Notre Dame,OC,76.0,285.0,4,0.9578,Cincinnati,OH,
95,HighSchool,2019,96.0,Erick Young,Fort Bend Bush,Texas A&M,CB,72.0,208.0,4,0.9576,Richmond,TX,
96,HighSchool,2019,97.0,Kardell Thomas,Southern University Lab School,LSU,OG,74.5,356.0,4,0.9572,Baton Rouge,LA,
97,HighSchool,2019,98.0,Noah Cain,IMG Academy,Penn State,RB,70.0,208.0,4,0.9568,Bradenton,FL,
98,HighSchool,2019,99.0,Marquez Beason,Duncanville,Illinois,ATH,70.0,177.0,4,0.9564,Duncanville,TX,
99,HighSchool,2019,100.0,Jaren Handy,Hattiesburg,Auburn,SDE,77.0,278.0,4,0.956,Hattiesburg,MS,
100,HighSchool,2019,101.0,William Putnam,Plant,Clemson,OG,75.5,295.0,4,0.9555,Tampa,FL,
101,HighSchool,2019,102.0,Brandon Turnage,Lafayette,Alabama,CB,73.0,185.0,4,0.9548,Oxford,MS,
102,HighSchool,2019,103.0,Treylon Burks,Warren,Arkansas,WR,75.0,225.0,4,0.9544,Warren,AR,
103,HighSchool,2019,104.0,Keon Zipperer,Lakeland,Florida,TE,74.0,240.0,4,0.9543,Lakeland,FL,
104,HighSchool,2019,105.0,Mazi Smith,East Kentwood,Michigan,DT,75.0,290.0,4,0.9536,Grand Rapids,MI,
105,HighSchool,2019,106.0,Doug Nester,Spring Valley,Virginia Tech,OG,78.5,305.0,4,0.9519,Huntington,WV,
106,HighSchool,2019,107.0,Tyler Owens,Plano East,Texas,S,74.0,197.0,4,0.9513,Plano,TX,
107,HighSchool,2019,108.0,Trente Jones,Grayson,Michigan,OT,78.0,282.0,4,0.9512,Loganville,GA,
108,HighSchool,2019,109.0,Mohamoud Diabate,Auburn,Florida,OLB,75.0,215.0,4,0.951,Auburn,AL,
109,HighSchool,2019,110.0,Christian Harris,University Lab,Alabama,ILB,73.5,235.0,4,0.9506,Baton Rouge,LA,
110,HighSchool,2019,111.0,Ramel Keyton,Marietta,Tennessee,WR,75.0,185.0,4,0.9503,Marietta,GA,
111,HighSchool,2019,112.0,Trey Palmer,Kentwood,LSU,WR,72.0,179.0,4,0.9499,Kentwood,LA,
112,HighSchool,2019,113.0,David Bell,Warren Central,Purdue,WR,73.0,200.0,4,0.9495,Indianapolis,IN,
113,HighSchool,2019,114.0,Cade Stover,Lexington,Ohio State,OLB,77.0,235.0,4,0.9487,Mansfield,OH,
114,HighSchool,2019,115.0,Ronnie Hickman,DePaul Catholic,Ohio State,S,73.0,200.0,4,0.9485,Wayne,NJ,
115,HighSchool,2019,116.0,Isaiah Williams,Trinity Catholic,Illinois,ATH,69.5,170.0,4,0.9479,Saint Louis,MO,
116,HighSchool,2019,117.0,Brendan Gant,Kathleen,Florida State,S,73.0,192.0,4,0.9477,Lakeland,FL,
117,HighSchool,2019,118.0,Quinn Carroll,Edina Senior,Notre Dame,OT,78.0,295.0,4,0.9472,Minneapolis,MN,
118,HighSchool,2019,119.0,Austin Jones,Bishop O'Dowd,Stanford,RB,70.0,195.0,4,0.9471,Oakland,CA,
119,HighSchool,2019,120.0,John Dunmore,Chaminade-Madonna Prep,Penn State,WR,74.0,172.0,4,0.9469,Hollywood,FL,
120,HighSchool,2019,121.0,Austin Stogner,Prestonwood Christian,Oklahoma,TE,78.0,235.0,4,0.9467,Plano,TX,
121,HighSchool,2019,122.0,Trezmen Marshall,Clinch County,Georgia,ILB,72.0,236.0,4,0.9464,Homerville,GA,
122,HighSchool,2019,123.0,Kevin Harris,Grayson,Alabama,WDE,76.0,228.0,4,0.9463,Loganville,GA,
123,HighSchool,2019,124.0,Enokk Vimahi,Kahuku,Ohio State,OG,76.5,263.0,4,0.9445,Kahuku,HI,
124,HighSchool,2019,125.0,Branson Bragg,Crandall,Stanford,OC,76.0,308.0,4,0.9444,Crandall,TX,
125,HighSchool,2019,126.0,Trent McDuffie,St. John Bosco,Washington,CB,71.0,187.0,4,0.9442,Bellflower,CA,
126,HighSchool,2019,127.0,Marcus Banks,Dekaney,Alabama,CB,72.0,166.0,4,0.9441,Houston,TX,
127,HighSchool,2019,128.0,Laiatu Latu,Jesuit,Washington,WDE,76.0,272.0,4,0.9435,Carmichael,CA,
128,HighSchool,2019,129.0,Maurice Hampton,Memphis University School,LSU,CB,72.0,205.0,4,0.9432,Memphis,TN,
129,HighSchool,2019,130.0,Sheridan Jones,Maury,Clemson,CB,73.0,175.0,4,0.9429,Norfolk,VA,
130,HighSchool,2019,131.0,Kenyatta Watson II,Grayson,Texas,CB,74.0,182.0,4,0.9427,Loganville,GA,
131,HighSchool,2019,132.0,Hudson Henry,Pulaski Academy,Arkansas,TE,77.0,230.0,4,0.9423,Little Rock,AR,
132,HighSchool,2019,133.0,Zion Puckett,Spalding,Auburn,S,72.0,200.0,4,0.942,Griffin,GA,
133,HighSchool,2019,134.0,Joseph Anderson,Oakland,South Carolina,SDE,76.0,268.0,4,0.9412,Murfreesboro,TN,
134,HighSchool,2019,135.0,Lance Wilhoite,Franklin Road Academy,Oregon,WR,74.5,186.0,4,0.9412,Nashville,TN,
135,HighSchool,2019,136.0,Puka Nacua,Orem,Washington,WR,74.0,190.0,4,0.9404,Orem,UT,
136,HighSchool,2019,137.0,Tyler Davis,Wekiva,Clemson,DT,73.0,293.0,4,0.9401,Apopka,FL,
137,HighSchool,2019,138.0,Siaki Ika,East,LSU,DT,74.5,372.0,4,0.94,Salt Lake City,UT,
138,HighSchool,2019,139.0,Tyrion Davis,Southern University Lab School,LSU,RB,73.0,235.0,4,0.9399,Baton Rouge,LA,
139,HighSchool,2019,140.0,Arjei Henderson,Fort Bend Travis,Florida,WR,73.0,183.0,4,0.9395,Richmond,TX,
140,HighSchool,2019,141.0,Stephen Herron Jr.,Trinity,Stanford,WDE,75.5,238.0,4,0.9389,Louisville,KY,
141,HighSchool,2019,142.0,Travis Jay,Madison County,Florida State,CB,73.0,185.0,4,0.9388,Madison,FL,
142,HighSchool,2019,143.0,Sean Dollars,Mater Dei,Oregon,APB,70.0,185.0,4,0.9387,Santa Ana,CA,
143,HighSchool,2019,144.0,Keiondre Jones,Callaway,Auburn,OG,76.0,341.0,4,0.9385,Hogansville,GA,
144,HighSchool,2019,145.0,Marcus Washington,Trinity Catholic,Texas,WR,74.0,191.0,4,0.9384,Saint Louis,MO,
145,HighSchool,2019,146.0,Nick Henrich,Burke,Nebraska,ILB,76.0,210.0,4,0.9383,Omaha,NE,
146,HighSchool,2019,147.0,Noa Pola-Gates,Williams Field,Nebraska,CB,71.0,165.0,4,0.9379,Gilbert,AZ,
147,HighSchool,2019,148.0,Derick Hall,Gulfport,Auburn,WDE,75.5,216.0,4,0.9378,Gulfport,MS,
148,HighSchool,2019,149.0,Joseph Charleston,Milton,Clemson,S,74.0,190.0,4,0.9376,Alpharetta,GA,
149,HighSchool,2019,150.0,Cameron Smith,Westwood,South Carolina,CB,73.0,168.0,4,0.9366,Blythewood,SC,
150,HighSchool,2019,151.0,Diwun Black,Osceola,Florida,ILB,75.5,216.0,4,0.9356,Kissimmee,FL,
151,HighSchool,2019,152.0,Isaiah Spiller,Klein Collins,Texas A&M,RB,72.5,201.0,4,0.9351,Spring,TX,
152,HighSchool,2019,153.0,Bryce Benhart,Lakeville North,Nebraska,OT,81.0,287.0,4,0.9349,Lakeville,MN,
153,HighSchool,2019,154.0,Ray Parker,Ruston,LSU,OT,77.0,270.0,4,0.9341,Ruston,LA,
154,HighSchool,2019,155.0,Dannis Jackson,Sumrall,Ole Miss,WR,73.0,187.0,4,0.9333,Sumrall,MS,
155,HighSchool,2019,156.0,Jaylen McCollough,Hillgrove,Tennessee,S,72.0,194.0,4,0.9331,Powder Springs,GA,
156,HighSchool,2019,157.0,Jaquaze Sorrells,Winter Park,South Carolina,DT,74.5,310.0,4,0.9331,Orlando,FL,
157,HighSchool,2019,158.0,King Mwikuta,Troup County,Alabama,WDE,77.0,240.0,4,0.933,West Point,GA,
158,HighSchool,2019,159.0,Donte Starks,John Ehret,LSU,ILB,73.0,225.0,4,0.933,Marrero,LA,
159,HighSchool,2019,160.0,Christian Williams,Daphne,Miami,CB,73.0,182.0,4,0.9328,Daphne,AL,
160,HighSchool,2019,161.0,Bill Norton,Christian Brothers,Georgia,SDE,78.0,275.0,4,0.9326,Memphis,TN,
161,HighSchool,2019,162.0,Jaden Payoute,Lloyd C. Bird,Virginia Tech,ATH,74.0,195.0,4,0.9326,Chesterfield,VA,
162,HighSchool,2019,163.0,Jeremiah Criddell,Mater Dei,Oklahoma,S,71.0,188.0,4,0.9325,Santa Ana,CA,
163,HighSchool,2019,164.0,Braylen Ingraham,St. Thomas Aquinas,Alabama,SDE,76.0,260.0,4,0.9321,Fort Lauderdale,FL,
164,HighSchool,2019,165.0,David Gbenda,Cinco Ranch,Texas,ILB,72.0,218.0,4,0.9313,Katy,TX,
165,HighSchool,2019,166.0,Devonta Lee,Amite,LSU,ATH,74.0,212.0,4,0.9312,Amite,LA,
166,HighSchool,2019,167.0,Dontae Lucas,IMG Academy,Florida State,OG,75.0,323.0,4,0.931,Miami,FL,
167,HighSchool,2019,168.0,Savion Jackson,Clayton,NC State,SDE,75.0,260.0,4,0.9309,Clayton,NC,
168,HighSchool,2019,169.0,Brayden Liebrock,Chandler,Texas,TE,77.0,220.0,4,0.9307,Chandler,AZ,
169,HighSchool,2019,170.0,Bryton Constantin,University Lab,Clemson,OLB,74.5,207.0,4,0.9304,Baton Rouge,LA,
170,HighSchool,2019,171.0,Dylan Morris,Graham-Kapowsin,Washington,PRO,73.0,195.0,4,0.9304,Graham,WA,
171,HighSchool,2019,172.0,Jacob Lacey,South Warren,Notre Dame,DT,74.0,285.0,4,0.9304,Bowling Green,KY,
172,HighSchool,2019,173.0,Stacey Wilkins,Camden Fairview,Oklahoma,OT,77.0,284.0,4,0.9298,Camden,AR,
173,HighSchool,2019,174.0,Nolan Rumler,Archbishop Hoban,Michigan,OG,76.0,290.0,4,0.9295,Akron,OH,
174,HighSchool,2019,175.0,Cornelius Johnson,Brunswick School,Michigan,WR,74.0,195.0,4,0.9294,Greenwich,CT,
175,HighSchool,2019,176.0,Trevor Keegan,Crystal Lake South,Michigan,OT,78.0,310.0,4,0.9288,Crystal Lake,IL,
176,HighSchool,2019,177.0,Darrian Dalcourt,St. Frances Academy,Alabama,OG,75.0,290.0,4,0.9285,Baltimore,MD,
177,HighSchool,2019,178.0,Ty Robinson,Higley,Nebraska,SDE,77.0,283.0,4,0.9284,Gilbert,AZ,
178,HighSchool,2019,179.0,Lance Dixon,West Bloomfield,Penn State,OLB,74.0,201.0,4,0.9276,West Bloomfield,MI,
179,HighSchool,2019,180.0,Taulia Tagovailoa,Thompson,Alabama,PRO,71.0,214.0,4,0.9269,Alabaster,AL,
180,HighSchool,2019,181.0,Sampson James,Avon,Indiana,RB,73.0,211.0,4,0.9255,Avon,IN,
181,HighSchool,2019,182.0,De'Monte Russell,Provine,Mississippi State,WDE,76.0,216.0,4,0.9255,Jackson,MS,
182,HighSchool,2019,183.0,Andrew Kristofic,Pine-Richland,Notre Dame,OT,77.0,282.0,4,0.9254,Gibsonia,PA,
183,HighSchool,2019,184.0,Eric Gray,Lausanne Collegiate School,Tennessee,APB,69.5,194.0,4,0.9244,Memphis,TN,
184,HighSchool,2019,185.0,John Olmstead,Saint Joseph,Notre Dame,OT,78.0,300.0,4,0.9242,Metuchen,NJ,
185,HighSchool,2019,186.0,Max Williams,Junipero Serra,USC,CB,68.0,173.0,4,0.9235,Gardena,CA,
186,HighSchool,2019,187.0,Kenny McIntosh,University School,Georgia,RB,72.5,218.0,4,0.9233,Fort Lauderdale,FL,
187,HighSchool,2019,188.0,Keontra Smith,Chaminade-Madonna Prep,Miami,S,71.0,192.0,4,0.9227,Hollywood,FL,
188,HighSchool,2019,189.0,Woodi Washington,Oakland,Oklahoma,CB,71.0,175.0,4,0.9225,Murfreesboro,TN,
189,HighSchool,2019,190.0,Chris Adimora,Mayfair,Texas,S,73.5,192.0,4,0.9218,Lakewood,CA,
190,HighSchool,2019,191.0,C.J. Clark,North Stanly,NC State,DT,75.0,303.0,4,0.9216,New London,NC,
191,HighSchool,2019,192.0,Joshua Pakola,St. Francis,Stanford,SDE,75.0,267.0,4,0.9214,Mountain View,CA,
192,HighSchool,2019,193.0,Ge'mon Eaford,Deerfield Beach,Oregon,OLB,72.0,217.0,4,0.9211,Deerfield Beach,FL,
193,HighSchool,2019,194.0,Jalen Curry,St Pius X,Arizona,WR,74.5,208.0,4,0.9209,Houston,TX,
194,HighSchool,2019,195.0,Maninoa Tufono,Punahou,USC,ILB,75.0,225.0,4,0.9203,Honolulu,HI,
195,HighSchool,2019,196.0,Makiya Tongue,University Lab,Georgia,ATH,74.0,210.0,4,0.9194,Baton Rouge,LA,
196,HighSchool,2019,197.0,Bryan Hudson,Scott County,Virginia Tech,OG,76.0,292.0,4,0.9189,Georgetown,KY,
197,HighSchool,2019,198.0,Joseph Weté,Gonzaga,Oklahoma,WDE,76.0,220.0,4,0.9187,Washington,DC,
198,HighSchool,2019,199.0,Daniel Heimuli,Menlo-Atherton,Washington,ILB,74.0,225.0,4,0.9187,Menlo Park,CA,
199,HighSchool,2019,200.0,Jalen Perry,Dacula,Michigan,CB,73.0,188.0,4,0.9186,Dacula,GA,
200,HighSchool,2019,201.0,Josh Delgado,IMG Academy,Oregon,WR,71.0,181.0,4,0.9182,Bradenton,FL,
201,HighSchool,2019,202.0,Quashon Fuller,Lehigh Senior,Florida State,SDE,74.5,270.0,4,0.9182,Lehigh Acres,FL,
202,HighSchool,2019,203.0,Kam Brown,Colleyville Heritage,Texas A&M,WR,72.0,170.0,4,0.9182,Colleyville,TX,
203,HighSchool,2019,204.0,Milton Wright,Christian Academy Of Louisville,Purdue,WR,75.0,200.0,4,0.918,Louisville,KY,
204,HighSchool,2019,205.0,Jaleel McRae,IMG Academy,Florida State,OLB,74.0,230.0,4,0.918,New Smyrna Beach,FL,
205,HighSchool,2019,206.0,Anthony Bradford,Muskegon,LSU,OG,77.0,355.0,4,0.9179,Muskegon,MI,
206,HighSchool,2019,207.0,Avery Huff,St. Thomas Aquinas,Miami,OLB,75.0,200.0,4,0.9177,Fort Lauderdale,FL,
207,HighSchool,2019,208.0,Isaiah Rutherford,Jesuit,Notre Dame,CB,72.0,192.0,4,0.9171,Carmichael,CA,
208,HighSchool,2019,209.0,Grayson Boomer,Collinsville,Oklahoma State,TE,77.0,230.0,4,0.9169,Collinsville,OK,
209,HighSchool,2019,210.0,Jahfari Harvey,Vero Beach,Miami,WDE,76.0,225.0,4,0.9165,Fort Pierce,FL,
210,HighSchool,2019,211.0,Isaiah Foskey,De La Salle,Notre Dame,WDE,76.0,233.0,4,0.9164,Concord,CA,
211,HighSchool,2019,212.0,Osita Ekwonu,Providence Day School,Notre Dame,ILB,74.0,220.0,4,0.9163,Charlotte,NC,
212,HighSchool,2019,213.0,Khafre Brown,West Mecklenburg,North Carolina,WR,72.0,176.0,4,0.9161,Charlotte,NC,
213,HighSchool,2019,214.0,Xavier Truss,Bishop Hendricken,Georgia,OT,78.5,316.0,4,0.9158,Warwick,RI,
214,HighSchool,2019,215.0,Jonathan Mingo,Brandon,Ole Miss,WR,74.0,200.0,4,0.9157,Brandon,MS,
215,HighSchool,2019,216.0,Taisun Phommachanh,Avon Old Farms,Clemson,DUAL,75.0,194.0,4,0.9156,Bridgeport,CT,
216,HighSchool,2019,217.0,Jarrian Jones,Northwest Rankin,Mississippi State,S,73.0,185.0,4,0.9147,Flowood,MS,
